kepid,kepoi_name,koi_disposition,koi_score,koi_period,koi_prad,koi_teq,koi_insol,koi_steff,koi_srad,koi_slogg,koi_kepmag
6370120,K02811.01,0,1.0,0.8564432662436063,0.5877866649021191,7.005789019253503,5.857647399373643,4414.0,0.524136637825663,4.621,15.169
5642620,K02882.02,0,0.0,0.40105128751779945,0.8754687373538999,7.317212408359839,7.093520898178647,4474.0,0.47871556984775704,4.67,15.398
5209845,K02883.01,2,1.0,2.5614060689610043,1.1314021114911006,6.26530121273771,2.9402195636237325,4359.0,0.5062150112083075,4.611,15.911
9652649,K02884.01,0,0.0,1.2495665310422244,0.49469624183610705,7.115582126184454,6.294047547248617,5615.0,0.6059539688575679,4.514,14.103
11100670,K02885.01,0,0.0,3.055604701955642,0.688134638736401,6.333279628139691,3.199896858270398,5528.0,0.5364933705145685,4.627,13.776
6129524,K02886.01,2,1.0,0.6322514191759999,0.8064758658669484,7.355641102974253,7.258736041798859,5268.0,0.5743636445699783,4.594,15.919
5794570,K02675.01,2,1.0,1.8638197989397847,1.1537315878891892,6.88653164253051,5.3796669122443594,5721.0,0.6444820085786643,4.517,12.43
5794570,K02675.02,2,1.0,0.7495876109614608,0.6931471805599453,7.414572881350589,7.494780542981031,5721.0,0.6444820085786643,4.517,12.43
5649325,K02676.01,0,0.0,5.2812415206021965,2.4553061800117097,6.148468295917647,2.50470927708418,5970.0,1.1721724917761382,3.835,13.56
9958387,K02677.01,1,0.999,5.475572933691478,2.3896797998449792,5.872117789475416,1.5539252025038417,5185.0,1.0483710722313628,3.936,13.46
6779260,K02678.01,2,1.0,1.5754855269836459,1.1786549963416462,6.920671504248683,5.516649360865024,5397.0,0.6048622656923737,4.543,11.799
5953297,K02733.01,2,1.0,1.8901047324428528,0.8960880245566356,6.650279048587422,4.442768896629268,4868.0,0.5573274574174104,4.6,14.009
7659389,K02734.01,2,1.0,1.5739973495016932,1.4929040961781488,6.913737350659685,5.489970250770876,5223.0,0.6339278208999741,4.505,15.768
9472074,K02735.01,2,1.0,0.44394274653184007,0.8458682675776092,7.488852955733459,7.7886882269751965,5151.0,0.5833323145527387,4.592,15.6
10842192,K02736.01,2,1.0,2.335679522000507,1.220829921392359,6.359573868672378,3.30395199722332,4442.0,0.49956243148727997,4.619,15.911
2442448,K02812.01,2,0.997,4.351747109498948,1.2837077723447896,6.1463292576688975,2.4948569806411682,6173.0,0.708035793053696,4.408,14.357
